fa_user,count
1・全職・中高階,2874
1・全職・初階,2641
2・全職・初階,777
2・全職・中高階,708
1・全職・助理,573
3・全職・初階,332
3・全職・中高階,256
1・全職・經理 / 總監,178
5・全職・初階,166
2・全職・助理,126
5・全職・中高階,122
10・全職・初階,68
4・全職・初階,48
4・全職・中高階,44
3・全職・助理,43
10・全職・中高階,32
"1・全職・經營層 (VP, GM, C-Level)",30
6・全職・初階,27
20・全職・初階,22
1・全職・實習,19
8・全職・初階,14
5・全職・助理,11
15・全職・初階,10
30・全職・初階,9
3・全職・實習,8
2・全職・經理 / 總監,8
8・全職・中高階,8
10・全職・助理,8
6・全職・中高階,7
3・全職・經理 / 總監,7
"2・全職・經營層 (VP, GM, C-Level)",6
20・全職・中高階,4
4・全職・助理,4
7・全職・初階,4
2・全職・實習,3
60・全職・初階,3
10・全職・實習,3
50・全職・初階,2
6・全職・助理,2
13・全職・初階,2
9・全職・中高階,2
7・全職・中高階,2
15・全職・中高階,2
"3・全職・經營層 (VP, GM, C-Level)",2
20・全職・助理,2
25・全職・初階,2
5・全職・實習,2
11・全職・初階,2
99・全職・初階,1
99・全職・中高階,1
300・全職・初階,1
13・全職・助理,1
30・全職・中高階,1
6・全職・經理 / 總監,1
12・全職・初階,1
40・全職・初階,1
196・全職・初階,1
14・全職・中高階,1
200・全職・初階,1
120・全職・初階,1
"10・全職・經營層 (VP, GM, C-Level)",1
6・全職・實習,1
13・全職・中高階,1
9・全職・初階,1
30・全職・實習,1
12・全職・中高階,1
4・全職・經理 / 總監,1
