,job_tags
3511,['excel' '+MySQL' '+php']
8060,[]
1884,['Accounting' 'Finance' 'CakeResume 2023 Career Fair']
1246,[]
11233,['Word' 'PowerPoint' 'Excel']
8511,[]
996,['HTML/CSS' 'wireframe' 'Google Analytics']
10114,['php' 'PHP']
404,[]
1753,[]
7509,['Communication' 'primiere' 'Photoshop']
1878,[]
7468,['powerpoint' 'excel' 'word']
11456,['支付' 'Python' 'Locust']
658,['illustrator' 'photoshop']
11154,['關鍵字廣告投放' '廣告投放策略與優化' '台北']
4132,[]
4688,[]
7360,['word' 'excel' 'powerpoint']
9817,[]
5580,['MIS' '網路管理' '網管工程師']
2600,['HTML' 'Github' 'Go']
5048,['C' 'C++']
4793,[]
3569,[]
7434,['活動企劃' '活動規劃' '市場調查資料分析與報告撰寫']
4091,['python development' 'Django' 'pandas']
6326,[]
7347,[]
927,[]
6582,[]
9174,[]
5586,['CakeResume 2023 Career Fair']
91,[]
410,[]
7874,[]
2867,['C#' 'C#.NET' 'C# MVC']
2086,['UI' 'illustrator' 'photoshop']
3193,['PHP' 'JavaScript']
2259,['HR' 'HR Business Partner' 'L&D']
11112,[]
1160,['Illustrator' 'Adobe Photoshop' 'Word']
3765,['SDK' 'Platform' 'SPI']
5030,[]
5277,[]
2368,['403台灣台中市西區']
4096,[]
9792,[]
2581,['CakeResume 2023 Career Fair']
7121,[]
9789,[]
7535,['Google Drive']
9843,['Business Development']
9362,['word' 'photoshop' 'illustrator']
917,[]
5248,[]
5493,['Java Based' 'Linux' 'Windows']
8757,['CI/CD' 'Scrum' 'Dart(Flutter)']
2346,['word' 'excel']
10212,['Desktop Application' 'JavaScript' 'Electron']
11230,['.net' '支付']
9957,[]
9025,['JavaScript' 'Web Developer' 'Shopify']
7811,[]
10816,[]
3909,[]
8531,['+GoogleCloud' '+Gsuite' '+freshworks']
1569,['powerpoint']
11227,[]
2555,[]
10301,[]
9367,[]
11077,['Excel' 'PowerPoint' 'word']
81,['Excel' 'PowerPoint' 'Word']
9939,['photoshop' 'illustrator' 'photography']
9901,['電商平台上架銷售' '電商運營管理' '電商營運系統優化']
8702,['React.js' 'HTML/CSS']
8056,[]
3051,['Golang' 'golang工程師']
8324,['excel' 'word' 'powerpoint']
9331,[]
8859,['Vue.js' 'Vue']
5254,['Electronics Industry']
6877,[]
6386,['Communication' 'activities organizing' 'Office 365']
4114,['fullstack engineer' 'PostgreSQL' 'MySQL']
159,['テクニカルサポート' 'Customer Support']
3417,['CakeResume 2023 Career Fair']
9739,[]
9194,['資深會計專員' '會計助理' '成本會計']
3746,['Nvidia Jetson' 'C++' 'Python']
8729,[]
9406,[]
3609,[]
10519,[]
9137,[]
6029,[]
9473,['copywriter' 'writing' 'wordpress']
7048,[]
10884,['HR Strategy' 'HRBP' 'Full-Cycle Recruiting']
8226,[]
3008,[]
7531,['原文書編輯']
1792,[]
3548,['Cloud Native' 'Development' 'CI']
10919,[]
9521,[]
6376,['Word' 'PowerPoint' 'Excel']
1795,['Excel' 'PowerPoint' 'Word']
569,[]
10035,['Android' 'ios']
5503,['English presentation' 'International Project Management' 'IT implement']
1815,['word' 'powerpoint' 'excel']
1830,[]
10470,['產品企劃' '產品管理']
4212,[]
203,['行銷' '電商']
8274,[]
10181,[]
4422,['Java' 'cloud service' 'AWS']
5762,[]
3014,['Perl' 'PHP' 'MySQL']
8737,[]
6853,[]
4944,['QA tester' 'QA Engineer' 'QA Testing']
1352,[]
9852,[]
9872,['業務開發' '餐廳' '台北']
6836,['KOL合作規劃與執行' '異業合作規劃與執行潛能' '異業合作規劃與執行']
1021,['Wireframing and Prototyping' 'RWD響應式網頁設計' 'UIUX design']
37,['Word' 'Excel' 'Outlook']
6,[]
5779,[]
9102,['Frontend' 'Shopify' 'Ako']
10901,['專案溝通╱整合管理' '專案時間╱進度控管' '專案規劃執行╱範圍管理']
2831,['#php' '#backend']
8873,['front-end' 'Vue.js' 'JavaScript']
10858,['活動企劃與執行' '活動策劃' '活動發想']
8746,[]
5457,[]
9861,[]
10448,['Customer Service' 'Store Staff' 'operation']
2980,['.NET' '.NET Core' '.net mvc']
9423,['3D壁畫' '學徒' '設計助理']
4513,['C#' 'Back-End Development' 'Backend']
346,['word' 'illustrator' 'photoshop']
2552,['Swift' 'Xcode' 'IOS Development']
6996,['品牌行銷管理' '異業合作規劃與執行' '行銷策略擬定']
8313,['Customer Satisfaction' 'Customer Relations' 'Customer Service']
9880,['業務開發']
9557,['TypeScript' 'MySQL' 'PostgreSQL']
5814,['Scheduling' 'Office Administration' 'Administration']
7559,[]
11202,[]
8213,[]
10481,['Microsoft Office' 'Google Drive' 'Canva']
396,['Word' 'Excel' 'Communication']
1211,['scss' 'rwd' 'html']
4923,['台北矽谷' '新店區' '新北']
4564,['PHP' 'MySQL' 'Laravel']
7642,['策略規劃' '企劃開發' '經營管理']
10177,[]
0,['Word' 'PowerPoint' 'Excel']
620,[]
4232,['AWS' 'Linux' 'CakeResume 2023 Career Fair']
7555,['SEO' 'WordPress' 'Google Analytics']
3332,['Git' 'MS SQL' 'Python']
10144,['Government Affairs' 'ClickUp' 'Mac OS']
686,['UI/UXDesign' 'Product Development']
10835,['word' 'powerpoint' 'excel']
5685,['300台灣新竹市東區' '日商' 'Word']
2349,[]
5423,['jlpt n1' 'jlpt n3' 'jlpt n2']
11511,['GCP' 'SDK' 'Java']
4833,['CakeResume 2023 Career Fair']
1570,['word' 'excel' 'powerpoint']
7481,[]
10845,['台灣' '台北']
2837,['Node.js' 'PostgreSQL' 'Golang']
5852,['Word' 'PowerPoint' 'Microsoft Office']
1349,[]
1994,[]
